drug_id,drug_name,atc_code,atc_level1,atc_level1_name,atc_level2,atc_level3,atc_level4,atc_level5,level_name,primary_category
DB05254,Fibrinolysin,B01AD05,B,Blood and blood forming organs,B01,B01A,B01AD,B01AD05,Enzymes,B
DB05254,Fibrinolysin,B06AA02,B,Blood and blood forming organs,B06,B06A,B06AA,B06AA02,Enzymes,B
DB05259,Glatiramer,L03AX13,L,Antineoplastic and immunomodulating agents,L03,L03A,L03AX,L03AX13,Other immunostimulants,L
DB05266,Ibudilast,R03DC04,R,Respiratory system,R03,R03D,R03DC,R03DC04,Leukotriene receptor antagonists,R
DB05271,Rotigotine,N04BC09,N,Nervous system,N04,N04B,N04BC,N04BC09,Dopamine agonists,N
DB05273,Samarium (153Sm) lexidronam,V10BX02,V,Various,V10,V10B,V10BX,V10BX02,Various pain palliation radiopharmaceuticals,V
DB05294,Vandetanib,L01XE12,L,Antineoplastic and immunomodulating agents,L01,L01X,L01XE,L01XE12,Protein kinase inhibitors,L
DB05311,Ecallantide,B06AC03,B,Blood and blood forming organs,B06,B06A,B06AC,B06AC03,Drugs used in hereditary angioedema,B
DB05316,Pimavanserin,N05AX17,N,Nervous system,N05,N05A,N05AX,N05AX17,Other antipsychotics,N
DB05332,Romiplostim,B02BX04,B,Blood and blood forming organs,B02,B02B,B02BX,B02BX04,Other systemic hemostatics,B
